ID,Date,Element,Data_Value
ASN00086068,2011-10-13,TMAX,227
ASN00086372,2006-01-25,TMAX,302
ASN00085283,2008-03-27,TMAX,145
ASN00086038,2007-06-05,TMAX,140
ASN00086351,2006-02-21,TMIN,118
ASN00086104,2008-06-20,TMIN,84
ASN00086071,2012-04-16,TMIN,147
ASN00086282,2005-08-20,TMIN,91
ASN00087031,2013-12-15,TMIN,119
ASN00086351,2010-02-22,TMAX,280
ASN00086351,2010-02-22,TMIN,175
ASN00086077,2015-01-27,TMAX,198
ASN00086077,2005-07-09,TMAX,102
ASN00086351,2010-05-04,TMAX,232
ASN00086071,2008-02-28,TMAX,195
ASN00086372,2008-05-03,TMIN,65
ASN00086068,2005-03-08,TMIN,125
ASN00086077,2008-04-10,TMIN,123
ASN00086351,2005-03-21,TMIN,138
ASN00086071,2008-02-29,TMAX,204
ASN00086077,2008-04-29,TMIN,86
ASN00086071,2008-02-28,TMIN,132
ASN00086038,2008-03-29,TMIN,89
ASN00087031,2014-12-03,TMIN,158
ASN00086077,2011-07-03,TMAX,145
ASN00087031,2014-12-03,TMAX,233
ASN00086104,2010-04-22,TMAX,281
ASN00087031,2014-02-20,TMIN,105
ASN00086383,2013-11-10,TMAX,179
ASN00086104,2005-07-21,TMAX,153
ASN00085283,2015-12-06,TMAX,260
ASN00086077,2007-05-10,TMAX,161
ASN00086038,2011-10-09,TMAX,157
ASN00086383,2011-10-28,TMIN,120
ASN00086038,2008-04-10,TMAX,268
ASN00086038,2007-02-01,TMAX,282
ASN00086038,2011-10-09,TMIN,99
ASN00086351,2006-10-26,TMIN,89
ASN00086351,2006-10-26,TMAX,168
ASN00086104,2012-01-13,TMAX,195
ASN00086104,2008-04-05,TMAX,192
ASN00086038,2008-12-20,TMIN,76
ASN00086351,2005-03-21,TMAX,235
ASN00086038,2008-04-10,TMIN,126
ASN00087031,2010-02-23,TMIN,105
ASN00086383,2013-11-10,TMIN,59
ASN00086351,2014-01-27,TMIN,141
ASN00085283,2015-12-06,TMIN,125
ASN00086383,2010-06-15,TMAX,134
ASN00087031,2007-01-16,TMIN,168
ASN00086038,2012-01-31,TMIN,123
ASN00086351,2014-01-27,TMAX,355
ASN00086104,2011-09-17,TMIN,49
ASN00086038,2012-01-31,TMAX,203
ASN00086068,2015-09-10,TMIN,98
ASN00086038,2008-05-09,TMIN,119
ASN00086038,2008-05-09,TMAX,149
ASN00087031,2014-12-28,TMAX,299
ASN00086077,2007-01-30,TMAX,245
ASN00086068,2009-10-18,TMAX,161
ASN00087031,2013-12-15,TMAX,193
ASN00086038,2008-03-29,TMAX,173
ASN00087031,2014-12-28,TMIN,99
ASN00086282,2014-01-23,TMIN,102
ASN00086104,2012-05-18,TMIN,102
ASN00086104,2012-05-18,TMAX,160
ASN00086282,2014-01-23,TMAX,337
ASN00086372,2009-03-23,TMIN,97
ASN00086077,2008-11-29,TMAX,184
ASN00086077,2005-07-09,TMIN,57
ASN00086351,2011-07-03,TMAX,129
ASN00086071,2007-06-07,TMAX,161
ASN00086372,2007-04-05,TMIN,88
ASN00085283,2010-04-21,TMIN,146
ASN00086372,2005-03-08,TMIN,88
ASN00085283,2010-04-21,TMAX,235
ASN00086077,2008-04-10,TMAX,248
ASN00086282,2005-11-29,TMAX,249
ASN00086104,2015-08-15,TMIN,97
ASN00086372,2007-04-05,TMAX,131
ASN00086383,2012-09-23,TMAX,181
ASN00086383,2012-09-23,TMIN,62
ASN00086071,2007-06-07,TMIN,107
ASN00087031,2013-12-02,TMAX,364
ASN00086038,2006-01-28,TMAX,259
ASN00086351,2011-07-03,TMIN,95
ASN00086038,2006-01-28,TMIN,182
ASN00086068,2009-10-18,TMIN,66
ASN00087031,2013-12-02,TMIN,169
ASN00086071,2008-02-29,TMIN,130
ASN00086372,2009-03-23,TMAX,137
ASN00087031,2008-03-03,TMAX,337
ASN00086351,2011-09-17,TMIN,48
ASN00085283,2015-01-07,TMAX,351
ASN00086068,2010-02-23,TMIN,114
ASN00086077,2005-09-07,TMIN,104
ASN00086038,2005-03-11,TMAX,284
ASN00086104,2011-10-31,TMIN,97
ASN00086077,2005-09-07,TMAX,210
ASN00086372,2005-03-27,TMIN,84
ASN00086038,2005-03-11,TMIN,97
ASN00086071,2010-05-03,TMAX,230
ASN00086104,2012-09-24,TMIN,66
ASN00086104,2011-10-31,TMAX,162
ASN00086383,2011-10-12,TMAX,170
ASN00086383,2013-12-02,TMAX,332
ASN00086383,2007-05-22,TMAX,142
ASN00086383,2011-10-08,TMAX,191
ASN00086282,2012-06-19,TMIN,50
ASN00086104,2012-09-24,TMAX,137
ASN00087031,2010-06-14,TMIN,79
ASN00086383,2011-10-12,TMIN,83
ASN00086282,2009-12-30,TMAX,368
ASN00086068,2010-02-23,TMAX,231
ASN00086077,2011-09-17,TMAX,242
ASN00086068,2013-11-10,TMIN,78
ASN00086282,2013-12-03,TMAX,269
ASN00086068,2013-11-10,TMAX,179
ASN00086383,2015-09-04,TMIN,47
ASN00085283,2012-01-13,TMIN,104
ASN00086383,2015-09-04,TMAX,137
ASN00086282,2009-12-30,TMIN,145
ASN00086104,2007-06-07,TMAX,146
ASN00086077,2011-09-17,TMIN,55
ASN00086104,2009-12-28,TMAX,256
ASN00086071,2014-01-28,TMAX,420
ASN00086068,2010-04-21,TMAX,258
ASN00087031,2010-06-14,TMAX,136
ASN00087031,2007-01-30,TMAX,289
ASN00087031,2007-01-30,TMIN,116
ASN00086351,2010-06-13,TMAX,120
ASN00087031,2007-07-21,TMIN,0
ASN00086383,2013-12-02,TMIN,121
ASN00085283,2015-01-07,TMIN,147
ASN00085283,2012-04-19,TMAX,205
ASN00086372,2005-03-27,TMAX,199
ASN00085283,2012-01-27,TMIN,164
ASN00087031,2010-03-09,TMAX,201
ASN00085283,2012-04-19,TMIN,154
ASN00086282,2012-05-16,TMAX,159
ASN00086383,2011-09-16,TMIN,40
ASN00087031,2010-03-09,TMIN,152
ASN00086282,2009-12-10,TMIN,122
ASN00086071,2007-01-16,TMIN,168
ASN00086077,2013-12-03,TMAX,244
ASN00086282,2012-09-26,TMAX,211
ASN00086351,2009-10-17,TMAX,155
ASN00086282,2012-09-26,TMIN,39
ASN00086383,2010-01-13,TMAX,213
ASN00085283,2014-11-25,TMIN,103
ASN00087031,2014-06-03,TMAX,171
ASN00086383,2010-01-13,TMIN,143
ASN00086351,2012-01-26,TMAX,238
ASN00086282,2009-12-10,TMAX,241
ASN00087031,2015-02-03,TMAX,211
ASN00086104,2009-12-28,TMIN,152
ASN00086071,2007-04-05,TMAX,199
ASN00086282,2010-06-14,TMIN,56
ASN00087031,2007-07-21,TMAX,114
ASN00086282,2012-06-19,TMAX,127
ASN00086282,2010-06-14,TMAX,139
ASN00086038,2005-07-02,TMIN,88
ASN00086038,2005-07-02,TMAX,156
ASN00086383,2015-07-25,TMIN,68
ASN00086071,2007-04-05,TMIN,135
ASN00087031,2009-03-05,TMIN,119
ASN00086068,2010-04-22,TMIN,137
ASN00087031,2009-03-05,TMAX,174
ASN00086038,2010-01-12,TMIN,260
ASN00086038,2010-01-12,TMAX,371
ASN00086372,2005-07-20,TMAX,103
ASN00086372,2005-07-20,TMIN,58
ASN00086383,2015-07-25,TMAX,125
ASN00086383,2007-07-21,TMAX,118
ASN00086038,2006-03-10,TMAX,241
ASN00086104,2011-10-29,TMAX,213
ASN00086068,2007-07-21,TMIN,13
ASN00086068,2007-07-21,TMAX,120
ASN00086071,2014-11-14,TMIN,189
ASN00086104,2005-07-06,TMAX,174
ASN00086383,2011-06-18,TMIN,76
ASN00086104,2005-07-06,TMIN,101
ASN00087031,2008-04-04,TMIN,95
ASN00086104,2010-04-21,TMIN,146
ASN00086068,2009-10-08,TMIN,38
ASN00086068,2009-10-08,TMAX,151
ASN00086104,2007-07-21,TMAX,123
ASN00086383,2011-10-08,TMIN,118
ASN00086383,2011-09-13,TMIN,84
ASN00087031,2009-10-18,TMIN,32
ASN00087031,2008-04-04,TMAX,195
ASN00087031,2009-10-18,TMAX,176
ASN00086383,2012-10-14,TMAX,220
ASN00086282,2006-12-24,TMIN,98
ASN00086383,2011-06-18,TMAX,153
ASN00086282,2006-12-24,TMAX,211
ASN00087031,2008-03-03,TMIN,105
ASN00086038,2007-02-01,TMIN,121
ASN00086071,2012-01-01,TMIN,183
ASN00086372,2006-01-25,TMIN,84
ASN00086104,2010-04-21,TMAX,252
ASN00086372,2010-04-10,TMAX,151
ASN00086372,2010-04-10,TMIN,115
ASN00086282,2009-12-14,TMIN,132
ASN00086282,2009-12-14,TMAX,198
ASN00085283,2012-06-15,TMIN,35
ASN00086282,2011-06-18,TMIN,75
ASN00086038,2014-06-05,TMAX,151
ASN00087031,2006-02-24,TMAX,376
ASN00087031,2006-02-24,TMIN,177
ASN00086282,2011-06-18,TMAX,159
ASN00085283,2008-04-30,TMIN,45
ASN00086071,2014-11-14,TMAX,209
ASN00086104,2007-07-21,TMIN,4
ASN00086372,2008-06-10,TMIN,98
ASN00086282,2005-03-20,TMIN,123
ASN00086071,2006-01-26,TMIN,164
ASN00086077,2010-02-22,TMAX,270
ASN00086071,2008-05-08,TMIN,136
ASN00086038,2006-03-10,TMIN,149
ASN00085283,2015-07-09,TMAX,112
ASN00086351,2012-01-26,TMIN,128
ASN00086282,2014-10-11,TMAX,214
ASN00086282,2010-03-10,TMIN,117
ASN00086077,2010-02-22,TMIN,170
ASN00086351,2010-01-10,TMIN,150
ASN00086282,2012-06-16,TMAX,149
ASN00086068,2010-04-22,TMAX,289
ASN00086282,2012-06-16,TMIN,70
ASN00086282,2013-12-03,TMIN,122
ASN00086282,2014-10-11,TMIN,107
ASN00086282,2010-03-10,TMAX,183
ASN00086104,2007-06-07,TMIN,40
ASN00086282,2007-05-21,TMAX,168
ASN00086071,2010-05-03,TMIN,92
ASN00086104,2011-10-29,TMIN,147
ASN00086077,2014-12-03,TMAX,231
ASN00086351,2010-01-10,TMAX,339
ASN00085283,2014-05-09,TMIN,37
ASN00086068,2013-12-02,TMAX,349
ASN00086071,2006-01-26,TMAX,396
ASN00086068,2013-12-02,TMIN,162
ASN00086068,2010-04-21,TMIN,151
ASN00086068,2012-10-14,TMIN,73
ASN00086372,2008-06-10,TMAX,117
ASN00086068,2012-10-14,TMAX,226
ASN00085283,2012-01-13,TMAX,185
ASN00086383,2007-05-22,TMIN,32
ASN00086104,2005-08-10,TMAX,81
ASN00086104,2005-08-10,TMIN,37
ASN00086351,2013-12-03,TMAX,268
ASN00086071,2008-05-08,TMAX,164
ASN00086351,2013-12-03,TMIN,138
ASN00086077,2014-12-03,TMIN,149
ASN00087031,2015-09-10,TMIN,75
ASN00087031,2015-09-10,TMAX,160
ASN00087031,2010-02-23,TMAX,221
ASN00086038,2012-04-15,TMIN,156
ASN00086383,2011-10-28,TMAX,268
ASN00086383,2012-06-19,TMAX,130
ASN00086383,2012-04-15,TMIN,71
ASN00086068,2012-06-19,TMIN,62
ASN00086071,2007-05-22,TMAX,158
ASN00086068,2012-06-11,TMAX,119
ASN00086068,2011-07-03,TMIN,103
ASN00086068,2011-07-03,TMAX,142
ASN00086038,2014-01-24,TMAX,216
ASN00086068,2012-06-19,TMAX,128
ASN00086104,2015-12-19,TMIN,178
ASN00086077,2012-09-25,TMIN,58
ASN00086077,2014-12-02,TMIN,135
ASN00086068,2012-06-11,TMIN,49
ASN00086383,2014-12-03,TMIN,133
ASN00086071,2012-04-22,TMIN,136
ASN00086071,2012-04-22,TMAX,233
ASN00086077,2008-06-10,TMIN,98
ASN00086383,2012-06-19,TMIN,43
ASN00086038,2014-01-24,TMIN,158
ASN00086104,2007-07-22,TMIN,7
ASN00085283,2015-09-04,TMIN,70
ASN00086068,2011-07-01,TMAX,168
ASN00087031,2009-12-29,TMAX,243
ASN00086372,2010-04-22,TMIN,159
ASN00086372,2010-04-22,TMAX,239
ASN00086351,2006-02-25,TMAX,314
ASN00086383,2009-12-28,TMAX,280
ASN00086068,2014-12-01,TMAX,300
ASN00086383,2009-12-28,TMIN,149
ASN00086068,2014-12-01,TMIN,213
ASN00086372,2010-06-15,TMIN,51
ASN00086383,2011-07-03,TMIN,55
ASN00086383,2011-07-03,TMAX,135
ASN00086351,2012-05-12,TMAX,158
ASN00085283,2008-11-27,TMIN,119
ASN00086104,2015-12-19,TMAX,415
ASN00086372,2010-06-15,TMAX,90
ASN00086077,2012-09-25,TMAX,155
ASN00086077,2010-05-04,TMAX,244
ASN00086077,2014-12-02,TMAX,235
ASN00085283,2012-04-18,TMIN,148
ASN00086104,2009-12-30,TMAX,364
ASN00086282,2012-01-02,TMIN,167
ASN00086068,2012-01-14,TMIN,135
ASN00086104,2009-12-30,TMIN,124
ASN00086282,2012-01-02,TMAX,392
ASN00086383,2012-06-11,TMIN,26
ASN00086068,2012-01-14,TMAX,197
ASN00086372,2009-10-17,TMIN,60
ASN00087031,2011-10-28,TMAX,278
ASN00087031,2011-10-28,TMIN,162
ASN00086383,2005-07-05,TMAX,164
ASN00086071,2009-02-11,TMIN,143
ASN00085283,2012-04-18,TMAX,220
ASN00086071,2009-02-11,TMAX,202
ASN00086068,2009-12-27,TMIN,106
ASN00086068,2008-06-18,TMAX,152
ASN00087031,2011-07-01,TMIN,75
ASN00086372,2009-10-17,TMAX,108
ASN00086383,2005-07-05,TMIN,6
ASN00086383,2012-06-11,TMAX,131
ASN00086383,2014-12-03,TMAX,235
ASN00086038,2012-04-19,TMAX,247
ASN00086351,2012-09-23,TMAX,190
ASN00086038,2014-11-15,TMIN,111
ASN00086068,2008-03-03,TMIN,110
ASN00086071,2008-03-04,TMAX,241
ASN00086068,2008-04-04,TMAX,181
ASN00086104,2007-07-22,TMAX,136
ASN00086372,2009-12-29,TMIN,114
ASN00086068,2008-03-03,TMAX,329
ASN00086372,2009-12-29,TMAX,220
ASN00086351,2012-09-23,TMIN,91
ASN00086383,2007-01-16,TMAX,397
ASN00086038,2012-04-19,TMIN,132
ASN00086068,2009-12-27,TMAX,247
ASN00086038,2014-11-15,TMAX,172
ASN00086351,2007-03-28,TMAX,250
ASN00086068,2008-04-04,TMIN,98
ASN00086282,2015-02-11,TMAX,354
ASN00086068,2011-07-01,TMIN,53
ASN00087031,2014-05-27,TMAX,206
ASN00086383,2012-01-14,TMIN,126
ASN00085283,2005-09-07,TMAX,204
ASN00086104,2009-03-06,TMIN,113
ASN00086068,2015-12-19,TMIN,191
ASN00086068,2015-12-19,TMAX,427
ASN00086351,2015-01-07,TMAX,383
ASN00086351,2012-05-12,TMIN,55
ASN00086068,2012-04-15,TMIN,145
ASN00086383,2012-01-14,TMAX,199
ASN00086071,2010-01-14,TMIN,153
ASN00086038,2014-10-12,TMIN,66
ASN00086104,2011-10-14,TMAX,247
ASN00086038,2014-10-12,TMAX,313
ASN00086104,2008-04-30,TMAX,140
ASN00086383,2007-01-16,TMIN,108
ASN00086104,2008-04-30,TMIN,54
ASN00086077,2008-06-10,TMAX,173
ASN00086383,2011-07-01,TMAX,170
ASN00086372,2007-07-19,TMIN,9
ASN00086372,2007-07-19,TMAX,58
ASN00086077,2012-06-11,TMAX,104
ASN00086068,2014-01-03,TMAX,241
ASN00086104,2012-06-20,TMIN,25
ASN00086038,2010-05-05,TMIN,75
ASN00086077,2012-06-11,TMIN,14
ASN00086104,2012-06-20,TMAX,140
ASN00086068,2012-04-15,TMAX,266
ASN00086068,2005-09-07,TMAX,205
ASN00085283,2015-02-12,TMIN,150
ASN00086077,2006-10-15,TMIN,91
ASN00086077,2008-12-14,TMAX,187
ASN00086077,2008-12-14,TMIN,130
ASN00086104,2011-10-14,TMIN,71
ASN00086104,2009-02-02,TMAX,284
ASN00086104,2009-02-02,TMIN,192
ASN00085283,2015-02-12,TMAX,250
ASN00086104,2009-03-06,TMAX,189
ASN00087031,2012-06-11,TMAX,120
ASN00086077,2010-05-04,TMIN,111
ASN00086071,2010-01-14,TMAX,234
ASN00086077,2006-10-15,TMAX,151
ASN00086038,2009-03-23,TMAX,192
ASN00086282,2015-09-09,TMIN,89
ASN00086077,2010-02-24,TMIN,96
ASN00086077,2010-02-24,TMAX,221
ASN00086038,2009-03-23,TMIN,139
ASN00086077,2013-12-02,TMAX,354
ASN00086071,2010-05-05,TMIN,91
ASN00086071,2007-05-22,TMIN,90
ASN00086077,2013-12-02,TMIN,155
ASN00086383,2012-04-15,TMAX,257
ASN00087031,2008-06-18,TMAX,147
ASN00085283,2008-11-27,TMAX,290
ASN00087031,2008-06-18,TMIN,110
ASN00086104,2008-05-04,TMIN,78
ASN00086104,2008-05-04,TMAX,183
ASN00087031,2014-05-27,TMIN,152
ASN00086351,2006-02-25,TMIN,205
ASN00086071,2011-06-17,TMAX,144
ASN00086282,2015-09-09,TMAX,149
ASN00085283,2015-09-04,TMAX,129
ASN00086372,2005-01-07,TMAX,116
ASN00086372,2005-01-07,TMIN,66
ASN00086068,2015-07-24,TMAX,143
ASN00086282,2014-12-29,TMAX,286
ASN00086282,2014-12-29,TMIN,136
ASN00086071,2012-05-18,TMIN,103
ASN00086068,2015-07-24,TMIN,43
ASN00086071,2012-05-18,TMAX,170
ASN00086071,2011-09-17,TMIN,81
ASN00086077,2014-12-28,TMAX,310
ASN00086071,2011-09-17,TMAX,254
ASN00087031,2014-02-01,TMAX,284
ASN00086071,2008-04-11,TMIN,184
ASN00086077,2014-12-28,TMIN,107
ASN00087031,2014-02-20,TMAX,203
ASN00086071,2013-11-11,TMAX,194
ASN00086071,2013-11-11,TMIN,98
ASN00087031,2012-06-11,TMIN,15
ASN00086068,2008-06-18,TMIN,53
ASN00086372,2008-05-08,TMAX,102
ASN00086351,2005-08-14,TMIN,95
ASN00086282,2013-12-10,TMAX,202
ASN00086351,2008-07-26,TMAX,125
ASN00086038,2006-10-27,TMIN,68
ASN00086351,2008-07-26,TMIN,10
ASN00086068,2014-12-03,TMAX,237
ASN00086351,2014-12-02,TMAX,280
ASN00086077,2006-10-26,TMIN,95
ASN00086383,2009-12-27,TMIN,67
ASN00086077,2006-10-26,TMAX,161
ASN00086104,2012-01-13,TMIN,124
ASN00086351,2012-09-25,TMAX,178
ASN00086038,2013-12-17,TMAX,224
ASN00085283,2015-07-29,TMAX,130
ASN00086077,2005-03-29,TMIN,78
ASN00086077,2005-03-29,TMAX,234
ASN00086351,2012-06-19,TMIN,50
ASN00086351,2012-09-25,TMIN,29
ASN00086038,2013-12-17,TMIN,138
ASN00086068,2014-12-03,TMIN,151
ASN00086038,2005-03-05,TMIN,105
ASN00086104,2012-04-16,TMIN,106
ASN00086383,2009-12-27,TMAX,250
ASN00086038,2006-10-27,TMAX,195
ASN00087031,2013-12-10,TMIN,112
ASN00086372,2009-12-12,TMAX,165
ASN00086351,2010-06-14,TMIN,50
ASN00086077,2012-06-19,TMIN,78
ASN00086372,2009-12-28,TMAX,218
ASN00086077,2012-06-19,TMAX,127
ASN00086383,2015-09-10,TMIN,80
ASN00086383,2015-09-10,TMAX,147
ASN00086351,2010-03-09,TMAX,210
ASN00086351,2010-03-09,TMIN,155
ASN00086372,2009-12-12,TMIN,80
ASN00087031,2012-09-23,TMAX,184
ASN00087031,2012-09-23,TMIN,105
ASN00086038,2005-03-05,TMAX,169
ASN00086351,2012-06-19,TMAX,119
ASN00086372,2008-11-29,TMAX,147
ASN00087031,2014-01-03,TMIN,140
ASN00086071,2014-11-25,TMAX,223
ASN00086071,2012-10-16,TMAX,206
ASN00086077,2011-07-01,TMAX,171
ASN00087031,2014-01-09,TMIN,110
ASN00086351,2007-01-30,TMIN,155
ASN00086077,2010-06-14,TMAX,143
ASN00086071,2014-01-28,TMIN,245
ASN00086383,2011-10-13,TMIN,30
ASN00086077,2011-07-01,TMIN,44
ASN00086372,2005-11-29,TMAX,184
ASN00086383,2011-10-13,TMAX,231
ASN00086068,2011-10-28,TMAX,277
ASN00086383,2015-07-24,TMIN,8
ASN00086351,2010-05-04,TMIN,122
ASN00085283,2015-07-09,TMIN,20
ASN00086351,2009-12-28,TMAX,256
ASN00086068,2011-10-28,TMIN,152
ASN00086068,2012-09-23,TMIN,89
ASN00087031,2014-01-27,TMAX,362
ASN00086383,2015-07-24,TMAX,135
ASN00086282,2013-12-10,TMIN,108
ASN00086372,2007-06-03,TMIN,60
ASN00086077,2009-03-11,TMAX,296
ASN00086383,2009-10-18,TMIN,60
ASN00087031,2013-12-10,TMAX,204
ASN00086383,2009-10-18,TMAX,161
ASN00086071,2014-11-25,TMIN,110
ASN00086077,2011-07-03,TMIN,112
ASN00086071,2005-08-14,TMAX,134
ASN00086068,2012-09-23,TMAX,189
ASN00086071,2012-10-16,TMIN,120
ASN00086071,2005-08-14,TMIN,96
ASN00086383,2012-10-14,TMIN,91
ASN00087031,2010-04-22,TMAX,307
ASN00086038,2008-12-20,TMAX,210
ASN00086077,2009-03-11,TMIN,147
ASN00087031,2010-04-22,TMIN,126
ASN00087031,2014-01-09,TMAX,296
ASN00087031,2014-01-03,TMAX,235
ASN00086372,2008-11-29,TMIN,93
ASN00086104,2012-04-16,TMAX,207
ASN00086071,2011-06-17,TMIN,63
ASN00086351,2010-02-24,TMIN,90
ASN00086282,2010-05-06,TMIN,89
ASN00086077,2012-09-23,TMAX,174
ASN00086077,2012-09-23,TMIN,111
ASN00086282,2010-05-06,TMAX,168
ASN00086351,2010-02-24,TMAX,230
ASN00087031,2011-07-01,TMAX,168
ASN00087031,2011-07-03,TMIN,93
ASN00086351,2010-06-14,TMAX,136
ASN00087031,2011-07-03,TMAX,136
ASN00085283,2015-02-03,TMAX,218
ASN00086038,2008-06-02,TMAX,166
ASN00086372,2005-07-01,TMAX,87
ASN00087031,2012-01-14,TMAX,186
ASN00085283,2007-03-19,TMAX,265
ASN00085283,2010-03-11,TMIN,82
ASN00085283,2009-02-13,TMIN,105
ASN00087031,2012-01-14,TMIN,135
ASN00086104,2009-03-09,TMIN,66
ASN00085283,2015-07-29,TMIN,49
ASN00086282,2006-10-25,TMAX,170
ASN00086071,2008-03-04,TMIN,176
ASN00086282,2006-10-25,TMIN,130
ASN00087031,2010-03-04,TMIN,135
ASN00086104,2009-03-09,TMAX,266
ASN00087031,2010-03-04,TMAX,320
ASN00086077,2006-02-24,TMAX,367
ASN00086077,2006-02-24,TMIN,170
ASN00086372,2008-05-08,TMIN,75
ASN00086038,2008-06-02,TMIN,18
ASN00086372,2007-03-27,TMAX,221
ASN00086351,2007-03-28,TMIN,158
ASN00086372,2007-03-27,TMIN,137
ASN00086351,2005-08-14,TMAX,140
ASN00086282,2015-02-11,TMIN,159
ASN00087031,2012-01-11,TMAX,185
ASN00087031,2012-01-11,TMIN,112
ASN00085283,2010-03-11,TMAX,207
ASN00086372,2005-07-01,TMIN,81
ASN00086282,2011-09-14,TMAX,176
ASN00086104,2012-06-12,TMAX,167
ASN00086104,2007-04-04,TMAX,202
ASN00085283,2014-12-29,TMIN,125
ASN00086104,2007-04-04,TMIN,54
ASN00086068,2007-01-16,TMAX,406
ASN00086383,2008-06-18,TMAX,152
ASN00086068,2011-06-18,TMIN,83
ASN00086282,2011-09-14,TMIN,85
ASN00086383,2014-12-01,TMIN,182
ASN00086282,2013-11-06,TMIN,104
ASN00086383,2008-06-18,TMIN,44
ASN00086372,2007-06-03,TMAX,109
ASN00085283,2014-12-29,TMAX,285
ASN00086104,2015-08-15,TMAX,153
ASN00086351,2014-12-02,TMIN,155
ASN00086372,2005-11-29,TMIN,86
ASN00086351,2007-01-30,TMAX,300
ASN00085283,2015-02-03,TMIN,128
ASN00087031,2012-06-19,TMAX,126
ASN00086077,2015-01-27,TMIN,97
ASN00086038,2006-12-29,TMAX,234
ASN00087031,2012-06-19,TMIN,48
ASN00086383,2011-06-17,TMAX,134
ASN00086383,2014-12-01,TMAX,292
ASN00086104,2012-06-12,TMIN,8
ASN00086282,2013-11-06,TMAX,296
ASN00085283,2009-02-10,TMAX,188
ASN00086383,2009-10-08,TMIN,11
ASN00086068,2007-01-16,TMIN,160
ASN00085283,2009-02-10,TMIN,95
ASN00086351,2012-04-18,TMIN,81
ASN00086077,2014-11-23,TMIN,165
ASN00086077,2014-11-23,TMAX,242
ASN00087031,2005-09-07,TMIN,111
ASN00086068,2011-06-18,TMAX,167
ASN00087031,2005-09-07,TMAX,214
ASN00086383,2011-06-17,TMIN,23
ASN00086038,2006-12-29,TMIN,120
ASN00086372,2009-12-28,TMIN,119
ASN00086383,2009-10-08,TMAX,144
ASN00086351,2009-10-17,TMIN,90
ASN00086068,2007-05-22,TMIN,74
ASN00086071,2007-01-16,TMAX,408
ASN00086104,2014-10-05,TMIN,131
ASN00087031,2009-12-12,TMIN,123
ASN00086383,2010-01-10,TMAX,357
ASN00086104,2011-09-18,TMAX,208
ASN00086071,2008-06-19,TMAX,147
ASN00086038,2006-10-28,TMIN,47
ASN00086104,2011-09-18,TMIN,91
ASN00086104,2014-10-05,TMAX,180
ASN00086071,2005-06-15,TMAX,125
ASN00086071,2008-06-19,TMIN,124
ASN00086351,2015-07-29,TMIN,61
ASN00087031,2010-06-13,TMAX,123
